Start Distance to Gillface log 
Login date and time: 11-1-2021 17:25:18

docks has started -------------------------    0
12,76    0,02
12,79497    0,1102752
12,91069    0,2167684
13,1893    0,3094436
13,48118    0,4007449
13,52496    0,5121218
13,64648    0,6167542
14,05418    0,7205147
14,02965    0,8135521
14,22823    0,9109144
14,33405    1,015454
14,47629    1,116716
14,84119    1,222242
14,9281    1,304893
15,10017    1,425145
15,27926    1,522176
15,34955    1,605357
15,47142    1,70634
15,62387    1,804595
15,70838    1,907875
15,68637    2,019148
16,03744    2,100977
16,11581    2,203784
16,25648    2,301448
16,2194    2,41253
16,3167    2,512894
16,54073    2,624706
16,5035    2,713305
16,53776    2,817557
16,75581    2,907517
16,89946    3,024082
16,95271    3,104775
17,07961    3,200824
17,0208    3,310538
17,15114    3,405729
17,27334    3,501274
17,24809    3,607509
17,21978    3,713639
17,26831    3,813746
17,31423    3,91375
17,45061    4,006818
17,3366    4,117986
17,38586    4,216871
17,55732    4,306556
17,43148    4,417615
17,56153    4,50978
17,70686    4,600595
17,51256    4,715639
17,57162    4,812108
17,52163    4,916122
17,70111    5,003444
17,51729    5,11642
17,60021    5,210093
17,55471    5,312632
17,6325    5,40616
17,67722    5,50177
17,49531    5,613041
17,47735    5,71248
17,42265    5,814207
17,36407    5,915918
17,51557    6,002753
17,26893    6,116952
17,25822    6,214505
17,37234    6,303194
17,18135    6,412628
17,25732    6,50346
17,19626    6,603422
16,93055    6,717062
16,92281    6,812821
16,85177    6,912621
16,84126    7,026984
16,79215    7,105866
16,54018    7,217037
16,5247    7,312032
16,48135    7,406794
16,28561    7,51333
16,35501    7,601929
16,12218    7,710366
15,91116    7,81705
15,94759    7,907114
15,65979    8,018304
15,55759    8,116991
15,63618    8,203596
15,31332    8,316216
15,39333    8,420506
15,18388    8,50695
14,98386    8,610727
14,90179    8,706603
14,64111    8,813748
14,58022    8,907761
14,4642    9,005084
14,10691    9,117596
13,99475    9,214159
13,99977    9,32085
13,80873    9,421944
13,56908    9,50813
13,34528    9,610794
13,09634    9,714766
13,11707    9,801529
12,85324    9,905936
12,66165    10,00555
12,3399    10,11304
12,26372    10,22238
11,84773    10,31778
11,61343    10,41902
11,64101    10,52115
11,20076    10,61734
11,1949    10,721
10,88953    10,82561
10,71297    10,90498
10,47035    11,02236
10,26715    11,10296
9,940857    11,22487
9,804321    11,30104
9,305374    11,41587
9,152985    11,50951
8,872574    11,62747
8,548965    11,71411
8,433365    11,80488
8,041336    11,91194
8,034149    12,01354
8,343018    12,12751
8,439117    12,21233
8,754242    12,30194
8,820007    12,41177
9,151093    12,52244
9,232834    12,60735
9,317917    12,71453
9,62001    12,80373
9,700607    12,91059
9,919113    13,02853
10,10835    13,12593
10,32065    13,22115
10,42807    13,3021
10,53247    13,40536
10,57338    13,51333
10,83485    13,60349
10,9227    13,70708
11,01175    13,81026
11,15741    13,90866
11,24867    14,011
11,36429    14,11113
11,58313    14,20293
11,62563    14,30811
11,85095    14,42044
11,746    14,51474
11,92497    14,60846
12,11552    14,72244
11,97327    14,81871
12,23634    14,90517
12,38818    15,04223
12,44896    15,12226
12,36595    15,21291
12,46048    15,31101
12,6772    15,42063
12,70387    15,52318
12,6241    15,61251
12,79897    15,70348
12,83786    15,80426
12,89702    15,90324
12,84656    16,00999
12,95209    16,10499
12,84006    16,2156
12,93924    16,31048
13,01779    16,4066
13,05795    16,50523
13,08749    16,60434
13,09702    16,70462
12,95714    16,81533
12,99075    16,91327
12,89978    17,01984
12,96288    17,11512
12,92302    17,21744
13,07593    17,30582
13,10666    17,40262
13,08446    17,50287
13,05843    17,60311
12,86612    17,7147
12,9269    17,80829
12,89485    17,9081
12,94151    18,00217
12,82289    18,10744
12,72403    18,21103
12,71158    18,30838
12,68954    18,40613
12,64252    18,50534
12,4209    18,61619
