Start Distance to Gillface log 
Login date and time: 17-1-2021 10:42:45

docks has started -------------------------    4,73116
12,76379    4,75116
12,86472    4,835872
13,05819    4,935858
13,2931    5,032103
13,63014    5,14266
13,57341    5,239199
13,84748    5,331292
14,16128    5,442674
14,24721    5,549417
14,33595    5,632936
14,54455    5,751704
14,64077    5,834071
14,81637    5,954716
14,90942    6,036801
15,0499    6,137181
15,22742    6,234303
15,39149    6,354332
15,58486    6,449547
15,66759    6,531166
15,77447    6,632624
15,90187    6,732157
15,95813    6,836921
16,22256    6,946918
16,31174    7,04844
16,45388    7,145567
16,41546    7,234756
16,45103    7,339491
16,6363    7,432457
16,63111    7,539667
16,79149    7,655229
16,94538    7,749681
16,91372    7,836733
17,09115    7,949968
17,15223    8,05055
17,15857    8,133982
17,21349    8,234464
17,22147    8,338137
17,30739    8,43571
17,50694    8,545304
17,52473    8,647303
17,49815    8,731683
17,61168    8,846629
17,56433    8,952488
17,6352    9,049412
17,60819    9,153171
17,75099    9,244327
17,64262    9,33316
17,66803    9,432295
17,80956    9,542917
17,66297    9,633728
17,82343    9,742357
17,75005    9,847369
17,63593    9,93509
17,65398    10,03306
17,6957    10,14885
17,55836    10,23746
17,57133    10,33496
17,53031    10,43596
17,52704    10,53404
17,44667    10,63723
17,56344    10,74587
17,42155    10,85271
17,51759    10,94281
17,35811    11,05028
17,28013    11,13262
17,16341    11,2366
17,2206    11,34753
17,09982    11,43212
17,0325    11,53191
16,99188    11,64858
17,00645    11,74226
16,847    11,84741
16,71598    11,95035
16,61008    12,03258
16,5451    12,14931
16,50871    12,24513
16,27384    12,35388
16,26765    12,44718
16,03756    12,53654
16,01393    12,64899
15,88515    12,73121
15,87442    12,84225
15,66795    12,94745
15,45525    13,03451
15,30293    13,15388
15,27472    13,24667
15,10349    13,34849
15,0358    13,44336
14,83257    13,54672
14,57478    13,63533
14,43371    13,73421
14,20473    13,83846
14,08368    13,95339
14,05026    14,04462
13,75548    14,13446
13,72514    14,24279
13,35793    14,33675
13,19638    14,45279
13,14427    14,54405
12,7791    14,63718
12,6317    14,73397
12,5761    14,84226
12,36322    14,94263
12,14455    15,04311
11,9413    15,14238
11,60066    15,24989
11,30659    15,33702
11,16995    15,43149
10,78036    15,55838
10,80641    15,6424
10,39473    15,73586
10,28003    15,84511
9,970703    15,94889
9,603561    16,03897
9,415527    16,15183
9,212219    16,24847
8,902832    16,33442
8,667999    16,43252
8,2948    16,53865
8,163498    16,64679
8,002121    16,73476
8,176758    16,83667
8,539658    16,94583
8,67308    17,05043
8,794769    17,13262
8,934738    17,23604
9,301422    17,34346
9,32782    17,43263
9,457306    17,5359
9,752838    17,64804
9,800735    17,7346
10,11717    17,84434
10,09357    17,93608
10,19997    18,03953
10,51744    18,14812
10,56157    18,2336
10,25269    18,34678
9,662582    18,43758
9,14946    18,53307
8,538925    18,64688
7,95668    18,74714
7,520767    18,8418
6,916595    18,95048
6,619614    19,03356
6,949112    19,1461
7,206482    19,24132
7,184021    19,33653
7,372177    19,43751
7,578369    19,537
7,840256    19,63184
8,152405    19,74581
8,243179    19,83135
8,508682    19,94853
8,545807    20,03793
8,759598    20,13556
9,149521    20,24138
9,313095    20,34245
9,341675    20,4314
9,668121    20,54136
9,672089    20,63172
9,824692    20,73241
9,96756    20,83355
10,21794    20,94818
10,27222    21,03335
10,39052    21,15776
10,71178    21,2434
10,87613    21,34121
10,7507    21,4395
10,92897    21,53562
11,19212    21,64673
11,22835    21,73145
11,5159    21,86177
11,4122    21,95679
11,59738    22,05084
11,78882    22,14413
11,67505    22,23909
12,00963    22,34233
11,96519    22,4528
12,21483    22,54052
12,09518    22,63479
12,24669    22,75064
12,25378    22,83475
12,32005    22,95632
12,42619    23,03248
12,62053    23,14384
12,54875    23,23284
12,64    23,35112
12,69666    23,45081
12,80362    23,54648
12,7865    23,65103
12,8735    23,74761
12,80206    23,83501
12,77762    23,93921
13,0065    24,04503
12,89276    24,13475
12,98285    24,25002
13,13611    24,34014
12,9389    24,43511
13,08701    24,54522
12,88788    24,63977
13,15131    24,74101
12,9588    24,83455
13,00107    24,95093
13,0528    25,04645
13,09659    25,14228
12,93988    25,23225
12,91925    25,33209
12,80872    25,43795
12,87146    25,55095
12,84525    25,6503
12,8551    25,74687
12,73651    25,85207
12,72272    25,94974
12,73672    26,04523
12,49554    26,13877
12,42569    26,2395
12,59006    26,34308
12,32733    26,43733
12,2402    26,53842
12,32507    26,64655
12,27518    26,74456
12,17041    26,846
11,93054    26,93743
12,07877    27,04016
11,79733    27,13389
11,8255    27,24408
11,51053    27,33954
11,42154    27,43834
11,64349    27,53483
13,20142    27,65376
14,22784    27,73363
15,95648    27,84074
16,77222    27,93401
17,87259    28,04502
17,14639    28,13791
14,96976    28,23386
12,32629    28,35071
10,13733    28,44691
8,205017    28,53538
6,639252    28,63774
7,033478    28,74489
7,027863    28,83869
5,621002    28,95593
3,890442    29,0418
1,834076    29,15483
