Start Distance to Gillface log 
Login date and time: 17-1-2021 10:50:03

docks has started -------------------------    6,664272
4,995555    6,684272
5,214113    6,782725
5,178265    6,879046
5,445055    6,97348
5,683323    7,070292
5,891451    7,169614
6,104407    7,268535
6,422798    7,382003
6,549011    7,464818
6,72419    7,566887
6,941607    7,665436
7,149973    7,764739
7,314579    7,867689
7,518311    7,967379
7,723692    8,06693
7,923187    8,166971
7,977085    8,279035
8,33634    8,365669
8,564589    8,4861
8,682392    8,568958
8,91291    8,665359
9,191093    8,780518
9,359852    8,881302
9,374992    8,971455
9,594536    9,067487
9,76791    9,166953
9,923187    9,267562
10,05851    9,369451
10,24223    9,467129
10,34412    9,571051
10,61456    9,683504
10,68832    9,766703
10,84047    9,887815
10,96832    9,966213
11,18251    10,08169
11,32784    10,1802
11,35531    10,26573
11,53223    10,38303
11,41835    10,479
11,70567    10,5653
11,90182    10,68003
11,92399    10,76465
11,99001    10,86718
11,93411    10,97871
12,05019    11,07676
12,25713    11,1676
12,18214    11,27957
12,42198    11,36737
12,35091    11,47837
12,59173    11,56557
12,5906    11,67067
12,76591    11,78318
12,76324    11,86687
12,852    11,96435
12,70802    12,07879
12,80845    12,1748
12,99185    12,26444
12,98521    12,36779
12,99999    12,46926
13,01704    12,57026
13,04819    12,66995
13,12058    12,78665
12,98089    12,87783
13,16043    12,96593
13,07777    13,07267
13,246    13,18115
12,73512    13,26781
11,88484    13,37844
11,20036    13,47694
10,52481    13,58445
9,877831    13,66984
9,127747    13,78202
8,473579    13,86744
7,722839    13,98687
7,302422    14,06857
6,81485    14,16754
6,188118    14,2781
5,774162    14,37093
5,293053    14,48102
5,232185    14,56776
5,526695    14,68322
5,612923    14,76936
5,737946    14,87561
6,02684    14,9682
6,151627    15,07447
6,480972    15,18702
6,696594    15,28572
6,936729    15,38238
7,056404    15,46574
7,331116    15,58284
7,315987    15,67744
7,646194    15,76659
7,008003    15,86502
5,087524    15,96673
3,139427    16,07074
1,224548    16,17198
